,Title,Event start,Event end,Category 1,Category 2,Location,coords
2330,Wedding Ceremony,2016-05-13,2016-05-14,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2331,Wedding Ceremony,2016-05-21,2016-05-22,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2332,Wedding Ceremony,2016-05-28,2016-05-29,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2333,Wedding Ceremony,2016-06-04,2016-06-05,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2334,Wedding Ceremony,2016-07-01,2016-07-02,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2335,Wedding Ceremony,2016-07-10,2016-07-11,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2336,Wedding Ceremony,2016-07-30,2016-07-31,Wedding,,Queen Victoria Gardens,"-37.821972450000004, 144.97172632643083"
2337,Wedding Ceremony,2016-09-03,2016-09-04,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2338,Wedding Ceremony,2016-09-03,2016-09-04,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2339,Wedding Ceremony,2016-09-08,2016-09-09,Wedding,,Queen Victoria Gardens,"-37.821972450000004, 144.97172632643083"
2340,Wedding Ceremony,2016-09-10,2016-09-11,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2341,Wedding Ceremony,2016-09-17,2016-09-18,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2342,Wedding Ceremony,2016-09-17,2016-09-18,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2343,Wedding Ceremony,2016-09-24,2016-09-25,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2344,Wedding Ceremony,2016-09-24,2016-09-25,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2345,Wedding Ceremony,2016-09-24,2016-09-25,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2346,Wedding Ceremony,2016-09-24,2016-09-25,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2347,Wedding Ceremony,2016-10-02,2016-10-03,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2348,Wedding Ceremony,2016-10-08,2016-10-09,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2349,Wedding Ceremony,2016-10-08,2016-10-09,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2350,Wedding Ceremony,2016-10-09,2016-10-10,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2351,Wedding Ceremony,2016-10-09,2016-10-10,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2352,Wedding Ceremony,2016-10-13,2016-10-14,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2353,Wedding Ceremony,2016-10-15,2016-10-16,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2354,Wedding Ceremony,2016-10-15,2016-10-16,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2355,Wedding Ceremony,2016-10-15,2016-10-16,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2356,Wedding Ceremony,2016-10-15,2016-10-16,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2357,Wedding Ceremony,2016-10-15,2016-10-16,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2358,Wedding Ceremony,2016-10-16,2016-10-17,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2359,Wedding Ceremony,2016-10-22,2016-10-23,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2360,Wedding Ceremony,2016-10-22,2016-10-23,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2361,Wedding Ceremony,2016-10-22,2016-10-23,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2362,Wedding Ceremony,2016-10-22,2016-10-23,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2364,Wedding Ceremony,2016-10-29,2016-10-30,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2365,Wedding Ceremony,2016-10-30,2016-10-31,Wedding,,Princes Park,"-37.7836516, 144.96190495814238"
2366,Wedding Ceremony,2016-10-30,2016-10-31,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2368,Wedding Ceremony,2016-10-31,2016-11-01,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2369,Wedding Ceremony,2016-11-05,2016-11-06,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2370,Wedding Ceremony,2016-11-05,2016-11-06,Wedding,,Flagstaff Gardens,"-37.8108792, 144.9546074728014"
2371,Wedding Ceremony,2016-11-05,2016-11-06,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2372,Wedding Ceremony,2016-11-05,2016-11-06,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2373,Wedding Ceremony,2016-11-05,2016-11-06,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2374,Wedding Ceremony,2016-11-05,2016-11-06,Wedding,,Flagstaff Gardens,"-37.8108792, 144.9546074728014"
2375,Wedding Ceremony,2016-11-08,2016-11-09,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2376,Wedding Ceremony,2016-11-11,2016-11-12,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2378,Wedding Ceremony,2016-11-12,2016-11-13,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2379,Wedding Ceremony,2016-11-12,2016-11-13,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2380,Wedding Ceremony,2016-11-12,2016-11-13,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2381,Wedding Ceremony,2016-11-12,2016-11-13,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2382,Wedding Ceremony,2016-11-12,2016-11-13,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2383,Wedding Ceremony,2016-11-12,2016-11-13,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2384,Wedding Ceremony,2016-11-19,2016-11-20,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2385,Wedding Ceremony,2016-11-19,2016-11-20,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2386,Wedding Ceremony,2016-11-19,2016-11-20,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2387,Wedding Ceremony,2016-11-19,2016-11-20,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2388,Wedding Ceremony,2016-11-19,2016-11-20,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2389,Wedding Ceremony,2016-11-22,2016-11-23,Wedding,,Queen Victoria Gardens,"-37.821972450000004, 144.97172632643083"
2390,Wedding Ceremony,2016-11-26,2016-11-27,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2391,Wedding Ceremony,2016-11-26,2016-11-27,Wedding,,Royal Park,"-37.781267650000004, 144.9516677441212"
2393,Wedding Ceremony,2016-11-26,2016-11-27,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2394,Wedding Ceremony,2016-12-03,2016-12-04,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2395,Wedding Ceremony,2016-12-03,2016-12-04,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2396,Wedding Ceremony,2016-12-03,2016-12-04,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2397,Wedding Ceremony,2016-12-03,2016-12-04,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2398,Wedding Ceremony,2016-12-03,2016-12-04,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2399,Wedding Ceremony,2016-12-03,2016-12-04,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2400,Wedding Ceremony,2016-12-09,2016-12-10,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2401,Wedding Ceremony,2016-12-09,2016-12-10,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2402,Wedding Ceremony,2016-12-10,2016-12-11,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2403,Wedding Ceremony,2016-12-10,2016-12-11,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2404,Wedding Ceremony,2016-12-10,2016-12-11,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2405,Wedding Ceremony,2016-12-10,2016-12-11,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2406,Wedding Ceremony,2016-12-10,2016-12-11,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2407,Wedding Ceremony,2016-12-10,2016-12-11,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2408,Wedding Ceremony,2016-12-10,2016-12-11,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2409,Wedding Ceremony,2016-12-11,2016-12-12,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2410,Wedding Ceremony,2016-12-17,2016-12-18,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2411,Wedding Ceremony,2016-12-22,2016-12-23,Wedding,,Alexandra Gardens,"-37.82113635, 144.97342992468816"
2412,Wedding Ceremony,2016-12-23,2016-12-24,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2413,Wedding Ceremony,2016-12-23,2016-12-24,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2414,Wedding Ceremony,2016-12-26,2016-12-27,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2415,Wedding Ceremony,2016-12-28,2016-12-29,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2416,Wedding Ceremony,2016-12-29,2016-12-30,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2417,Wedding Ceremony,2016-12-29,2016-12-30,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2418,Wedding Ceremony,2016-12-30,2016-12-31,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2419,Wedding Ceremony,2016-12-31,2017-01-01,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2420,Wedding Ceremony,2016-12-31,2017-01-01,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2421,Wedding Ceremony,2016-12-31,2017-01-01,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2422,Wedding Ceremony,2017-01-07,2017-01-08,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2423,Wedding Ceremony,2017-01-07,2017-01-08,Wedding,,Fawkner Park,"-37.84128915, 144.98188695954508"
2425,Wedding Ceremony,2017-01-07,2017-01-08,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2426,Wedding Ceremony,2017-01-07,2017-01-08,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2427,Wedding Ceremony,2017-01-08,2017-01-09,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2428,Wedding Ceremony,2017-01-14,2017-01-15,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2429,Wedding Ceremony,2017-01-15,2017-01-16,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2430,Wedding Ceremony,2017-01-21,2017-01-22,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2431,Wedding Ceremony,2017-01-22,2017-01-23,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2432,Wedding Ceremony,2017-01-26,2017-01-27,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2433,Wedding Ceremony,2017-01-27,2017-01-28,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2434,Wedding Ceremony,2017-01-28,2017-01-29,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2435,Wedding Ceremony,2017-01-28,2017-01-29,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2436,Wedding Ceremony,2017-01-28,2017-01-29,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2437,Wedding Ceremony,2017-02-03,2017-02-04,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2438,Wedding Ceremony,2017-02-03,2017-02-04,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2439,Wedding Ceremony,2017-02-04,2017-02-05,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2440,Wedding Ceremony,2017-02-04,2017-02-05,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2441,Wedding Ceremony,2017-02-04,2017-02-05,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2442,Wedding Ceremony,2017-02-04,2017-02-05,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2443,Wedding Ceremony,2017-02-04,2017-02-05,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2444,Wedding Ceremony,2017-02-04,2017-02-05,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2445,Wedding Ceremony,2017-02-04,2017-02-05,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2446,Wedding Ceremony,2017-02-10,2017-02-11,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2447,Wedding Ceremony,2017-02-11,2017-02-12,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2448,Wedding Ceremony,2017-02-11,2017-02-12,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2449,Wedding Ceremony,2017-02-11,2017-02-12,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2450,Wedding Ceremony,2017-02-11,2017-02-12,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2451,Wedding Ceremony,2017-02-18,2017-02-19,Wedding,,"Carlton Gardens, Fitzroy Gardens","-37.8126834, 144.98050420901842"
2452,Wedding Ceremony,2017-02-18,2017-02-19,Wedding,,Royal Park,"-37.781267650000004, 144.9516677441212"
2453,Wedding Ceremony,2017-02-24,2017-02-25,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2454,Wedding Ceremony,2017-02-24,2017-02-25,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2455,Wedding Ceremony,2017-02-25,2017-02-26,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2456,Wedding Ceremony,2017-02-25,2017-02-26,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2457,Wedding Ceremony,2017-02-25,2017-02-26,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2458,Wedding Ceremony,2017-02-25,2017-02-26,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2460,Wedding Ceremony,2017-02-25,2017-02-26,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2461,Wedding Ceremony,2017-02-25,2017-02-26,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2462,Wedding Ceremony,2017-02-26,2017-02-27,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2463,Wedding Ceremony,2017-03-04,2017-03-05,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2464,Wedding Ceremony,2017-03-04,2017-03-05,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2465,Wedding Ceremony,2017-03-04,2017-03-05,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2466,Wedding Ceremony,2017-03-04,2017-03-05,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2467,Wedding Ceremony,2017-03-04,2017-03-05,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2468,Wedding Ceremony,2017-03-04,2017-03-05,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2470,Wedding Ceremony,2017-03-04,2017-03-05,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2471,Wedding Ceremony,2017-03-04,2017-03-05,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2472,Wedding Ceremony,2017-03-05,2017-03-06,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2473,Wedding Ceremony,2017-03-05,2017-03-06,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2474,Wedding Ceremony,2017-03-11,2017-03-12,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2475,Wedding Ceremony,2017-03-11,2017-03-12,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2476,Wedding Ceremony,2017-03-11,2017-03-12,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2477,Wedding Ceremony,2017-03-11,2017-03-12,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2478,Wedding Ceremony,2017-03-11,2017-03-12,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2479,Wedding Ceremony,2017-03-11,2017-03-12,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2480,Wedding Ceremony,2017-03-12,2017-03-13,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2481,Wedding Ceremony,2017-03-12,2017-03-13,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2482,Wedding Ceremony,2017-03-12,2017-03-13,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2483,Wedding Ceremony,2017-03-12,2017-03-13,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2484,Wedding Ceremony,2017-03-16,2017-03-17,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2485,Wedding Ceremony,2017-03-17,2017-03-18,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2486,Wedding Ceremony,2017-03-17,2017-03-18,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2487,Wedding Ceremony,2017-03-17,2017-03-18,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2488,Wedding Ceremony,2017-03-18,2017-03-19,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2489,Wedding Ceremony,2017-03-18,2017-03-19,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2490,Wedding Ceremony,2017-03-18,2017-03-19,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2491,Wedding Ceremony,2017-03-18,2017-03-19,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2492,Wedding Ceremony,2017-03-19,2017-03-20,Wedding,,"Carlton Gardens, Treasury Gardens","-37.8143952, 144.97602661372298"
2493,Wedding Ceremony,2017-03-25,2017-03-26,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2494,Wedding Ceremony,2017-03-25,2017-03-26,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2495,Wedding Ceremony,2017-03-25,2017-03-26,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2496,Wedding Ceremony,2017-03-25,2017-03-26,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2497,Wedding Ceremony,2017-03-25,2017-03-26,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2498,Wedding Ceremony,2017-03-25,2017-03-26,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2499,Wedding Ceremony,2017-03-25,2017-03-26,Wedding,,Royal Park,"-37.781267650000004, 144.9516677441212"
2500,Wedding Ceremony,2017-03-25,2017-03-26,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2501,Wedding Ceremony,2017-03-26,2017-03-27,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2502,Wedding Ceremony,2017-03-26,2017-03-27,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2503,Wedding Ceremony,2017-03-26,2017-03-27,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2504,Wedding Ceremony,2017-03-31,2017-04-01,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2505,Wedding Ceremony,2017-03-31,2017-04-01,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2506,Wedding Ceremony,2017-04-01,2017-04-02,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2507,Wedding Ceremony,2017-04-01,2017-04-02,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2508,Wedding Ceremony,2017-04-01,2017-04-02,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2509,Wedding Ceremony,2017-04-02,2017-04-03,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2510,Wedding Ceremony,2017-04-08,2017-04-09,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2511,Wedding Ceremony,2017-04-08,2017-04-09,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2512,Wedding Ceremony,2017-04-09,2017-04-10,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2513,Wedding Ceremony,2017-04-15,2017-04-16,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2514,Wedding Ceremony,2017-04-21,2017-04-22,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2515,Wedding Ceremony,2017-04-21,2017-04-22,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2516,Wedding Ceremony,2017-04-21,2017-04-22,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2519, Mgs Cross Country Events,2017-07-20,2017-08-04,Private Event,,Kings Domain,"-37.8255684, 144.9753018434737"
2520, Fso Ey Christmas Party,2017-12-19,2017-12-20,Private Event ,Christmas Party ,Treasury Gardens,"-37.8143952, 144.97602661372298"
2521, Smmb Midnight Oil,2017-11-02,2017-11-17,Public Event - Ticketed,,Kings Domain,"-37.8255684, 144.9753018434737"
2523,Wedding Ceremony ,2017-10-07,2017-10-08,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2525, Contiki,2017-12-05,2017-12-06,Private Event,,Alexandra Gardens,"-37.82113635, 144.97342992468816"
2526,Wedding Ceremony ,2017-10-07,2017-10-08,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2527,Wedding Ceremony ,2017-10-07,2017-10-08,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2532, Inflatable Refugee,2017-06-17,2017-06-18,Public Event - Non Ticketed,,Alexandra Gardens,"-37.82113635, 144.97342992468816"
2534, Malaysian Summit Of Australia,2017-04-23,2017-04-24,Public Event - Low Impact Activity,,Flagstaff Gardens,"-37.8108792, 144.9546074728014"
2535,Wedding Ceremony ,2017-11-24,2017-11-25,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2536,Wedding Ceremony ,2018-01-05,2018-01-06,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2538, Src Staff Xmas Party,2017-12-20,2017-12-21,Private Event ,Christmas Party ,Flagstaff Gardens,"-37.8108792, 144.9546074728014"
2539, Cling Clang Album Launch Party,2017-12-10,2017-12-11,Public Event - Non Ticketed,,Birrarung Marr,"-37.819057900000004, 144.9743266242395"
2540,Wedding Ceremony ,2017-11-05,2017-11-06,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2541,Wedding Ceremony ,2017-11-05,2017-11-06,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2542,Wedding Ceremony ,2017-11-05,2017-11-06,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2544, Melbourne Head Regatta,2017-11-18,2017-11-19,Public Event - Non Ticketed,,Alexandra Gardens,"-37.82113635, 144.97342992468816"
2546, The Greater Run,2017-09-23,2017-09-24,Public Event - Run/Walk,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2547, Bmd Family Christmas Day,2017-12-09,2017-12-10,Private Event ,Christmas Party ,Fawkner Park,"-37.84128915, 144.98188695954508"
2550, Welcome Event,2017-10-13,2017-10-14,Private Event,,Alexandra Gardens,"-37.82113635, 144.97342992468816"
2560,Wedding Ceremony ,2017-12-17,2017-12-18,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2564, Pride Run & Walk,2018-01-21,2018-01-22,Public Event - Run/Walk,,Kings Domain,"-37.8255684, 144.9753018434737"
2565, Family Safety Victoria Eoy Event,2017-12-15,2017-12-16,Private Event ,Christmas Party ,Treasury Gardens,"-37.8143952, 144.97602661372298"
2566,Wedding Ceremony ,2017-11-11,2017-11-12,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2567,Wedding Ceremony ,2017-11-11,2017-11-12,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2568,Wedding Ceremony ,2017-11-11,2017-11-12,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2569,Wedding Ceremony ,2017-11-11,2017-11-12,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2570, Australian Open Festival 2018,2018-01-02,2018-02-03,Public Event - Ticketed,,Birrarung Marr,"-37.819057900000004, 144.9743266242395"
2571,Wedding Ceremony ,2017-11-03,2017-11-04,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2573, Step Up For Down Syndrome,2017-10-08,2017-10-09,Public Event - Ticketed,,Princes Park ,"-37.7836516, 144.96190495814238"
2574, Girls Skate Australia,2017-11-25,2017-11-26,Public Event - Non Ticketed,,Alexandra Gardens,"-37.82113635, 144.97342992468816"
2576, Social Garden Xmas Party,2017-12-15,2017-12-16,Private Event ,Christmas Party ,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2579, Frank Dyson Memorial Relay,2017-05-20,2017-05-21,Private Event,,Kings Domain,"-37.8255684, 144.9753018434737"
2580,Wedding Ceremony ,2017-09-24,2017-09-25,Wedding,,Queen Victoria Gardens,"-37.821972450000004, 144.97172632643083"
2581, Cityside Eoy Celebration,2017-12-17,2017-12-18,Private Event ,Christmas Party ,Flagstaff Gardens,"-37.8108792, 144.9546074728014"
2589, Year 9 City Discovery Bootcamp,2017-09-01,2017-09-02,Private Event,,Alexandra Gardens,"-37.82113635, 144.97342992468816"
2591,Wedding Ceremony ,2017-12-15,2017-12-16,Wedding,,Royal Park,"-37.781267650000004, 144.9516677441212"
2593,Wedding Ceremony ,2018-01-06,2018-01-07,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2594,Wedding Ceremony ,2018-01-06,2018-01-07,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2598,Wedding Ceremony ,2017-09-23,2017-09-24,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2599,Wedding Ceremony ,2017-12-09,2017-12-10,Wedding,,Royal Park,"-37.781267650000004, 144.9516677441212"
2603, MCCCC Fun Run/walk,2017-10-22,2017-10-23,Public Event - Run/Walk,,Princes Park ,"-37.7836516, 144.96190495814238"
2607, A Walk In The Park,2017-10-28,2017-10-29,Public Event - Low Impact Activity,,Princes Park ,"-37.7836516, 144.96190495814238"
2609, Arts Learning Festival,2017-04-30,2017-05-11,Pubilc Event - Non-ticketed,,Birrarung Marr,"-37.819057900000004, 144.9743266242395"
2615, Walk Together,2017-10-21,2017-10-22,Public Event - Low Impact Activity,,Treasury Gardens,"-37.8143952, 144.97602661372298"
